Statename,FIPS,Date,Days_from_Ref,RelativeMobility,CumulativeMobility,Actual-Predict,FatalityRA,CumFatality_Stayput,SchoolOpenNow1%,SchoolOpenNow2%,MaskMandate25%,MaskMandate50%,Shutdown1week,Shutdown2week,Population
Capital District,36001,2020-3-13,-21,,,Actual,,,,,,,,,305506
US,0,2020-3-13,-21,,,Actual,0,0,,,,,,,0
New York,36,2020-3-14,-15,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-14,-20,,,Actual,,,,,,,,,305506
US,0,2020-3-14,-20,,,Actual,0,0,,,,,,,0
New York,36,2020-3-15,-14,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-15,-19,,,Actual,,,,,,,,,305506
US,0,2020-3-15,-19,,,Actual,0,0,,,,,,,0
New York,36,2020-3-16,-13,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-16,-18,,,Actual,,,,,,,,,305506
US,0,2020-3-16,-18,,,Actual,0,0,,,,,,,0
New York,36,2020-3-17,-12,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-17,-17,,,Actual,,,,,,,,,305506
US,0,2020-3-17,-17,,,Actual,0,0,,,,,,,0
New York,36,2020-3-18,-11,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-18,-16,,,Actual,,,,,,,,,305506
US,0,2020-3-18,-16,,,Actual,0,0,,,,,,,0
New York,36,2020-3-19,-10,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-19,-15,,,Actual,,,,,,,,,305506
US,0,2020-3-19,-15,,,Actual,0,0,,,,,,,0
New York,36,2020-3-20,-9,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-20,-14,,,Actual,,,,,,,,,305506
US,0,2020-3-20,-14,,,Actual,0,0,,,,,,,0
New York,36,2020-3-21,-8,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-21,-13,,,Actual,,,,,,,,,305506
US,0,2020-3-21,-13,,,Actual,0,0,,,,,,,0
New York,36,2020-3-22,-7,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-22,-12,,,Actual,,,,,,,,,305506
US,0,2020-3-22,-12,,,Actual,0,0,,,,,,,0
New York,36,2020-3-23,-6,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-23,-11,,,Actual,,,,,,,,,305506
US,0,2020-3-23,-11,,,Actual,3,7,,,,,,,0
New York,36,2020-3-24,-5,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-24,-10,,,Actual,,,,,,,,,305506
US,0,2020-3-24,-10,,,Actual,2.6,11,,,,,,,0
New York,36,2020-3-25,-4,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-25,-9,,,Actual,,,,,,,,,305506
US,0,2020-3-25,-9,,,Actual,4.8,20,,,,,,,0
New York,36,2020-3-26,-3,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-26,-8,,,Actual,,,,,,,,,305506
US,0,2020-3-26,-8,,,Actual,7.4,19,,,,,,,0
New York,36,2020-3-27,-2,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-27,-7,,,Actual,,,,,,,,,305506
US,0,2020-3-27,-7,,,Actual,7.2,31,,,,,,,0
New York,36,2020-3-28,-1,,,Actual,,,,,,,,,26161672
Capital District,36001,2020-3-28,-6,,,Actual,,,,,,,,,305506
US,0,2020-3-28,-6,,,Actual,6.2,44,,,,,,,0
New York,36,2020-3-29,0,-58.6666666666667,0,Actual,466.4,2031,,,,,,,26161672
Capital District,36001,2020-3-29,-5,,,Actual,,,,,,,,,305506
US,0,2020-3-29,-5,,,Actual,480.8,2088,,,,,,,0
New York,36,2020-3-30,1,-61.3333333333333,0.386666666666667,Actual,549.8,2585,,,,,,,26161672
Capital District,36001,2020-3-30,-4,,,Actual,,,,,,,,,305506
US,0,2020-3-30,-4,,,Actual,564,2646,,,,,,,0
New York,36,2020-3-31,2,-61.6666666666667,0.77,Actual,642.4,3244,,,,,,,26161672
Capital District,36001,2020-3-31,-3,,,Actual,,,,,,,,,305506
US,0,2020-3-31,-3,,,Actual,658.6,3336,,,,,,,0
New York,36,2020-4-1,3,-60,1.17,Actual,697.6,3976,,,,,,,26161672
Capital District,36001,2020-4-1,-2,,,Actual,,,,,,,,,305506
US,0,2020-4-1,-2,,,Actual,744.2,4281,,,,,,,0
New York,36,2020-4-2,4,-61.6666666666667,1.55333333333333,Actual,705,4813,,,,,,,26161672
Capital District,36001,2020-4-2,-1,,,Actual,,,,,,,,,305506
US,0,2020-4-2,-1,,,Actual,913.6,5861,,,,,,,0
New York,36,2020-4-3,5,-63,1.92333333333333,Actual,737.6,5519,,,,,,,26161672
Capital District,36001,2020-4-3,0,-66.7777777777778,0,Actual,2.8,8,,,,,,,305506
US,0,2020-4-3,0,,,Actual,1005.4,7128,,,,,,,0
New York,36,2020-4-4,6,-56.6666666666667,2.35666666666667,Actual,797.2,6110,,,,,,,26161672
Capital District,36001,2020-4-4,1,-55.1111111111111,0.448888888888889,Actual,3.6,12,,,,,,,305506
US,0,2020-4-4,1,,,Actual,1078.8,8063,,,,,,,0
New York,36,2020-4-5,7,-58,2.77666666666667,Actual,846,6932,,,,,,,26161672
Capital District,36001,2020-4-5,2,-59.3333333333333,0.855555555555556,Actual,3.6,17,,,,,,,305506
US,0,2020-4-5,2,,,Actual,1251.6,9837,,,,,,,0
New York,36,2020-4-6,8,-61.3333333333333,3.16333333333333,Actual,901.8,7962,,,,,,,26161672
Capital District,36001,2020-4-6,3,-59.2222222222222,1.26333333333333,Actual,3,21,,,,,,,305506
US,0,2020-4-6,3,,,Actual,1367.6,11229,,,,,,,0
New York,36,2020-4-7,9,-64,3.52333333333333,Actual,978.2,9043,,,,,,,26161672
Capital District,36001,2020-4-7,4,-62.3333333333333,1.64,Actual,3,22,,,,,,,305506
US,0,2020-4-7,4,,,Actual,1671.8,14156,,,,,,,0
New York,36,2020-4-8,10,-65,3.87333333333333,Actual,983.6,10028,,,,,,,26161672
Capital District,36001,2020-4-8,5,-66.6666666666667,1.97333333333333,Actual,2,23,,,,,,,305506
US,0,2020-4-8,5,,,Actual,1805.6,16236,,,,,,,0
New York,36,2020-4-9,11,-67.6666666666667,4.19666666666667,Actual,963,11001,,,,,,,26161672
Capital District,36001,2020-4-9,6,-72.3333333333333,2.25,Actual,1.4,27,,,,,,,305506
